car_model,price,year_model,kms,color,fueltype
Renault Logan 1.6 Authentique,$31.500.000,2017,80.000,Plateado,Gasolina
Renault Logan 1.6 Zen,$39.000.000,2021,32.600,Gris,Gasolina
Renault Logan Life 1.6 2023 Mq,$57.296.142,2023,0,Blanco,Gasolina
Renault Logan 1.6 Life,$39.990.000,2023,73.110,Gris,Gasolina
Renault Logan 1.6 Expression,$35.600.000,2018,47.000,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$24.500.000,2013,135.000,Azul,Gasolina
Renault Logan Familier  1400cc Mt Aa,$21.500.000,2010,89.900,Gris,Gasolina
Renault Logan Polar 1.6,$41.500.000,2020,64.000,Gris,Gasolina
Renault Logan Aut 16v Motor Intens 110hp Divino Financiamos,$51.900.000,2023,29.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$48.900.000,2020,41.000,Dorado,Gasolina
Renault Logan 1.6 Authentique / Life,$46.000.000,2023,47.950,Gris,Gasolina
Renault Logan 1.6 Life,$50.000.000,2023,63.000,Rojo,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,16.000,Plateado,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,15.000,Gris,Gasolina
Renault Logan LIFE 1.6,$49.400.000,2023,25.916,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.500.000,2013,207.000,Rojo,Gasolina
Renault Logan 1.6 Intens,$52.000.000,2020,38.000,Gris,Gasolina
Renault Logan INTENSE,$57.990.000,2023,19.196,Gris,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,15.000,Plateado,Gasolina
Renault Logan Mt 2022,$42.900.000,2022,25.000,Plateado,Gasolina
Renault Logan 1.6 Life,$57.700.000,2023,0,Gris,Gasolina
Renault Logan At 2022,$46.900.000,2022,24.000,Gris,Gasolina
Renault Logan Mt 2018,$35.900.000,2018,62.000,Blanco,Gasolina
Renault Logan Mt 2023,$44.900.000,2023,20.000,Gris,Gasolina
Renault Logan Life ,$49.990.000,2023,15.000,Plateado,Gasolina
